Id,Label,timeset,package name,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree,clustering,eigencentrality,Authority,Hub,weighted indegree,weighted outdegree,Weighted Degree,pageranks
180735,,,metalex,0,0,0,0,1471,0,0,0,0,0,0,0,0,0,0,0.000147
180844,,,metanetwork,0,0,0,0,1472,0,0,0,0,0,0,0,0,0,0,0.000147
181115,,,metnet,0,0,0,0,2942,5,0,5,0,0.130454,0.003311,0,5,0,5,0.000372
181223,,,metriculous,0,0,0,0,1473,0,0,0,0,0,0,0,0,0,0,0.000147
181564,,,mgf,0,0,0,0,1474,0,0,0,0,0,0,0,0,0,0,0.000147
181768,,,micomputing,0,0,0,0,788,2,0,2,0.5,0.001531,0.024988,0,2,0,2,0.000273
181948,,,micrograph-cleaner-em,0,0,0,0,1475,0,0,0,0,0,0,0,0,0,0,0.000147
182001,,,micronet,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
182625,,,midaspy,0,0,0,0,1476,0,0,0,0,0,0,0,0,0,0,0.000147
182692,,,midi-transformer,0,0,0,0,1477,0,0,0,0,0,0,0,0,0,0,0.000147
182697,,,miditok,0,0,0,0,1478,0,0,0,0,0,0,0,0,0,0,0.000147
182705,,,midnite,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
182831,,,miidl,0,0,0,0,450,2,0,2,0.5,0.001531,0.025125,0,2,0,2,0.000161
182893,,,mil,0,0,0,0,1479,0,0,0,0,0,0,0,0,0,0,0.000147
182918,,,milinamaso,0,0,0,0,1480,0,0,0,0,0,0,0,0,0,0,0.000147
183042,,,mi-module-zoo,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
183051,,,mimikit,0,0,0,0,2942,6,0,6,0.233333,0.240045,0.02931,0,6,0,6,0.000326
183059,,,mimsi,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
183060,,,min2net,0,0,0,0,2712,1,0,1,0,0.043698,0.000257,0,1,0,1,0.00015
183130,,,mindsdb,0,0,0,0,1481,0,0,0,0,0,0,0,0,0,0,0.000147
183173,,,mindware,0,0,0,0,1482,0,0,0,0,0,0,0,0,0,0,0.000147
183284,,,minetorch,0,0,0,0,1483,0,0,0,0,0,0,0,0,0,0,0.000147
183288,,,minerva-ui,0,0,0,0,2695,1,0,1,0,0.001857,0,0,1,0,1,0.000274
183333,,,miniattention,0,0,0,0,1484,0,0,0,0,0,0,0,0,0,0,0.000147
183357,,,minica,0,0,0,0,1485,0,0,0,0,0,0,0,0,0,0,0.000147
183375,,,miniclassifier,0,0,0,0,1486,0,0,0,0,0,0,0,0,0,0,0.000147
183391,,,minicons,0,0,0,0,450,2,0,2,0.5,0.159258,0.029287,0,2,0,2,0.000148
183430,,,minigrad,0,0,0,0,1487,0,0,0,0,0,0,0,0,0,0,0.000147
183648,,,minitf,0,0,0,0,1488,0,0,0,0,0,0,0,0,0,0,0.000147
183652,,,minitensorflow,0,0,0,0,1489,0,0,0,0,0,0,0,0,0,0,0.000147
183677,,,minisom,0,0,0,0,1490,0,0,0,0,0,0,0,0,0,0,0.000147
183689,,,minkowskiengine,0,0,0,0,1491,0,0,0,0,0,0,0,0,0,0,0.000147
183696,,,minlp-tokenizer,0,0,0,0,1492,0,0,0,0,0,0,0,0,0,0,0.000147
183725,,,minnn,0,0,0,0,1493,0,0,0,0,0,0,0,0,0,0,0.000147
183853,,,mipt-wann,0,0,0,0,1494,0,0,0,0,0,0,0,0,0,0,0.000147
183904,,,mirasol,0,0,0,0,1495,0,0,0,0,0,0,0,0,0,0,0.000147
183988,,,miscnn-tf-2.0,0,0,0,0,2709,2,0,2,0,0.033633,0.004594,0,2,0,2,0.000189
183995,,,miscnn-tf-1.14,0,0,0,0,2709,2,0,2,0,0.033633,0.000938,0,2,0,2,0.00019
184006,,,miscnn,0,0,0,0,2712,2,0,2,0.5,0.076929,0.00483,0,2,0,2,0.00015
184036,,,miso,0,0,0,0,2712,1,0,1,0,0.001129,0.000011,0,1,0,1,0.000173
184072,,,miscan,0,0,0,0,2690,4,0,4,0.25,0.035163,0.008057,0,4,0,4,0.000153
184098,,,miso2,0,0,0,0,2712,1,0,1,0,0.001129,0.000011,0,1,0,1,0.000173
184201,,,mistyfy,0,0,0,0,1496,0,0,0,0,0,0,0,0,0,0,0.000147
184219,,,mitdeeplearning,0,0,0,0,1497,0,0,0,0,0,0,0,0,0,0,0.000147
184335,,,mit-semseg,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
184397,,,mixturemapping,0,0,0,0,1498,0,0,0,0,0,0,0,0,0,0,0.000147
184401,,,mixture-of-experts,1,1,1,0,788,1,1,2,0.5,0.000402,0.02497,0.000741,1,1,2,0.000147
184460,,,mixturelib,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
184521,,,mka142-apprise,0,0,0,0,1499,0,0,0,0,0,0,0,0,0,0,0.000147
184957,,,ml360nlppre,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0.000147
184958,,,ml2rt,1,1,1,12,2138,3,1,4,0,0.034034,0.030109,0,3,1,4,0.00015
184961,,,ml360-nlp-preprocessing,0,0,0,0,1501,0,0,0,0,0,0,0,0,0,0,0.000147
184972,,,ml4chem,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
184973,,,ml2,0,0,0,0,2942,2,0,2,0,0.033633,0.005737,0,2,0,2,0.000149
